Carlsbad Classic 2015;;;;;;
;;;;;;
Pořadí;Číslo;Jméno;Kategorie;Klub;Čas 2;Kolo
1;10;WILLITS PETER , Tichy Steven;not_def;;00:11,00;1
2;7;FIALA PETR , Fiala Tomáš;not_def;Classic Auto;00:11,02;1
3;25;ERDÉLYI ZOLTÁN , Erdélyi Csilla;not_def;;00:11,03;1
4;8;VURM VLADIMÍR ;not_def;V-Team;00:11,04;1
5;4;JANEČEK DANIEL , Janeček Jiří;not_def;Classic Auto;00:10,93;1
6;34;WAGNER STEFAN , Wagner Siegbert;not_def;Sachs-Franken-Classic;00:11,08;1
7;40;ERNEST PAVEL , Ernestová Miluše;not_def;AUTO-MOTO Dobrovice;00:11,09;1
8;50;SULMA ROBERT , Mojon Denis;not_def;BBI Classic;00:10,91;1
9;17;WEITHALER JOSEF , Klossová Michaela;not_def;;00:10,90;1
10;29;MÜLLER VLADIMÍR , Kešelj Alex;not_def;BBI Classic;00:11,12;1
11;28;FIALOVÁ DAGMAR , Fialová Lucie;not_def;Classic Auto;00:11,13;1
12;1;NIEWALD JAN , Niewaldová Hana;not_def;;00:10,87;1
13;12;KACEROVSKÝ PAVEL , Kacerovská Mikešová Marcela;not_def;ČK Motorsport;00:10,87;1
14;21;PANCE ŠTĚPÁN , Pance Albert;not_def;;00:10,86;1
15;2;BRZOŇ JAROSLAV , Ječná Eva;not_def;BBI Classic;00:10,85;1
16;9;VÍTEK JIŘÍ , Vítková Renata;not_def;JRV-Team;00:10,85;1
17;13;PANCE ALBERT , Ruthová Anna;not_def;;00:10,82;1
18;47;FOŠUM FRANTIŠEK ML. , Kubiš Ivan;not_def;VCC Radčice;00:11,18;1
19;46;MULAČ JAN , Mulačová Ivana;not_def;KHV-MB;00:11,19;1
20;48;SVOBODA LUKÁŠ , Rainerová Kateřina;not_def;Wild Ducks;00:11,23;1
21;111;PAVLÍČEK DANIEL , Pavlíčková Jana;not_def;;00:11,24;1
22;15;SKÁLA PATRIK , Skála Jan;not_def;;00:11,27;1
23;30;NOSZVAI ANDRÁS , Noszvai Anna;not_def;;00:10,72;1
24;3;PARMA PAVEL , Parmová Veronika;not_def;Classic Auto;00:11,31;1
25;14;PAVLÍČEK MICHAL , Pavlíček Matěj;not_def;;00:10,69;1
26;27;ŠIKAL ANTONÍN ;not_def;;00:11,34;1
27;33;LEXA ALEŠ , Kadlexová Šárka;not_def;Bob Sharp Datsun;00:10,64;1
28;41;ŠTAJF VOJTĚCH , Štajfová Milana;not_def;Subaru Česká republika;00:11,40;1
29;31;DUDA IGOR , Krejzlová Alice;not_def;Swisslife;00:11,51;1
30;6;KRAJNÍK JAROSLAV , Chaloupková Jana;not_def;;00:11,52;1
31;36;KAŠPAR MILOŠ , Janak Marie;not_def;INKOS Historic Team;00:11,56;1
32;53;LACIAK MARTIN ;not_def;Savoy Westend Hotel;00:11,59;1
33;24;GERGELY HORVATH , Karabelyos Peter;not_def;;00:11,62;1
34;38;PAŽOUT JAROMÍR ;not_def;Bookassist;00:11,63;1
35;20;VURM MIROSLAV , Šafář Jan;not_def;V-Team;00:11,66;1
36;39;BRZOŇ JAROSLAV ST. , Procházka Petr;not_def;BBI Classic;00:11,82;1
37;45;KOSNAR MICHAL , Kraus Petr;not_def;KV Classic Team;00:11,84;1
38;52;THORMÄHLEN NIELS , Schulfreund Markus;not_def;BBI Classic;00:11,89;1
39;19;MAUN MILOSLAV , Maunová Rosi;not_def;;00:11,93;1
40;22;MACH KAREL , Mach Karel ml.;not_def;ČK Motorsport;00:11,94;1
41;23;MOTLÍK JAN , Motlíková Jana;not_def;;00:12,01;1
42;51;BENEŠ JOSEF , Žáčková Jana;not_def;Maserati Club;00:12,29;1
43;26;ŠVIDRNOCH ROMAN , Švidrnochová Karolína;not_def;Opel CS;00:12,51;1
44;35;VÁVRA DANIEL , Endl Petr;not_def;Engine;00:12,84;1
45;37;ŠIKAL ANTONÍN ;not_def;;00:12,98;1
46;42;GONDA JOSEF , Gondová Marie;not_def;PEGAS;00:08,82;1
47;18;STEINBAUER ANTONÍN , Steinbauerová Hana;not_def;VCC Radčice;00:13,29;1
48;44;HUŇÁČEK PAVEL , Formánek Vojtěch;not_def;;00:13,36;1
49;11;HÁJEK ONDŘEJ , Hájek Oldřich;not_def;;00:13,73;1
50;5;BRATRŠOVSKÝ PAVEL , Bratršovská Marie;not_def;;00:14,17;1
51;43;FOŠUM FRANTIŠEK , Polánka Zdeněk;not_def;VCC Radčice;00:14,93;1
52;16;KLEPETKO PETR , Klepetková Magda;not_def;BBI Classic;00:16,33;1
53;49;HELCELET IVAN , Křepel Jan;not_def;;00:16,14;1
